Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,5
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611,5
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,5
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,7
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303,7
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,1
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,3
31,59.6,5,16.8,24.2,13.6,1.38,6.3,443,5
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,3
33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,535,3
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,529,7
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,5
20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,7
28.6,53.7,28.9,34,23.2,4.5,1.02,11,508,7
22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,232,7
32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,5
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,7
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,3
34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,437,5
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,3
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,338,5
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,7
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,536,7
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,7
26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581,7
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,7
30,69.2,2,3.9,15.3,5.2,1.09,10.1,297,7
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,3
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,7
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,1
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,1
23.3,45.2,24,29,26.6,5.3,0.96,10.9,575,7
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,3
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10,744,3
21.8,79.6,7.1,16.8,14.5,6,0.91,10.8,455,7
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,5
27.5,78.9,30.2,34.1,15.3,3,0.98,11.1,472,7
28,72.2,18.5,25,24.9,6.1,1.32,13.2,480,7
22.2,50,2.3,8.4,23.5,3.7,0.96,10.2,547,7
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,1
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,1
30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,3
39.3,78.9,68.9,85.2,43.7,13,1.7,8.5,570,3
24.7,64.9,17.3,37,27.2,14.9,1.48,5.5,453,3
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,5
17.4,56.5,2.6,6.9,21,3.5,0.92,11.6,475,7
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,7
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,7
22.4,69.3,2.2,8.4,19.6,3,0.92,10.2,339,7
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,5
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,1
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,7
32.6,65.1,4.1,19.3,28,14.5,1.45,6.3,509,5
46.1,100.3,144,169.8,42.5,16.1,2.3,7.3,443,1
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,1
48.1,94.1,4.2,19,23.7,6,1.57,6,625,3
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,5
29,83.5,31.5,44.4,27,-2.8,1.49,5.7,538,5
24.9,82.2,19.5,27.9,25.6,2,1.54,8.1,458,5
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,3
20.8,48.5,16,19.7,11.2,2.5,1.17,10.2,432,7
28.2,71.7,75.2,90,30.8,5,1.81,4.8,765,3
32,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,3
21.5,60,14.6,20.6,20.9,1.6,0.94,10.7,587,7
29.6,63.1,12.8,15.9,22,3.8,1.16,11,377,7
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,7
33.2,49.8,1.4,23.3,23,25.8,2.06,6.8,730,3
58.6,66,44,54,44.3,22.7,3.09,5.2,641,1
28.1,51.8,36,40.3,26.4,5.4,1.15,10.8,264,7
32,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,5
25,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,7
25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,482,5
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,1
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10,358,7
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,7
24.6,84.2,5.2,19.2,22.5,9,1.48,7.3,623,5
25.9,62.8,25.8,35.6,31.2,19,1.48,5.3,411,5
22.1,54,10.6,15.4,13.9,8.9,1,10.5,265,7
34.1,97.9,54,76.8,31.6,16.4,2.15,6.6,513,3
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,7
28,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,7
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,7
30.4,101.1,28.6,42.6,39.9,4,2.2,6.8,639,3
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,1
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11,194,7
28.2,49.6,17,21.7,19.7,11.3,0.99,11.1,214,7
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,3
18.8,77.7,11,15.8,20,5.6,1.09,11.2,409,7
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,7
34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,680,3
23,50.7,1.1,5,24.8,2.1,1.12,12.4,593,7
22.3,78.8,19.3,26,26.1,5.5,0.82,10.7,214,7
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,7
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,3
22.4,73,12.2,15,26.6,3.6,0.97,12.9,266,7
32.3,82,8.8,18.7,29.8,14.7,2.03,5.7,600,3
33.5,70.8,8.1,16.3,22,15.9,1.63,5.1,527,5
33.1,52,7.2,15.9,38.9,12.1,1.46,7.3,452,5
25.5,48,15.5,19.9,18.6,7.7,1.04,10.3,503,7
29.9,77.8,1.5,23.4,43.8,20,1.89,6,681,3
29.3,67.5,1.9,5,12.1,4.5,1.12,11,576,7
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,5
23.7,40,20.7,23,20.4,6.2,1.05,12.5,318,7
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,7
44.9,105.8,24.5,47.4,39.9,26.7,2.36,4,878,1
27,45.5,6.2,13,24.3,5,1.01,10.7,205,7
49.6,87.5,81.9,87,40.4,18.4,2.14,2.9,631,1
33.4,78.5,101.6,109.9,19.3,9.2,1.32,5,334,5
23.5,51.6,0,8.3,23.5,7.4,0.92,19.7,450,7
22.2,75.7,19,20.7,20.1,5.3,1.03,10.7,316,7
35.4,51.9,48.4,53,21,10.4,1.53,6.6,628,5
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,3
21,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,7
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,5
46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,1
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,7
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,7
24.1,59.3,14.4,33.1,31,16.7,2,5.3,622,3
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,1
22.5,73,0.2,6.2,15,5.5,0.95,14.2,543,7
26.7,57.9,50,59.6,26.3,9.4,1.68,6.3,541,5
24.6,51.3,3.9,8,21.7,5.9,0.98,12.8,454,7
32,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,5
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,3
32.5,68.3,33.2,40.1,29,9.5,1.52,6.5,410,5
33,56.8,1.9,5,36.1,7.6,1.75,7.5,481,5
30.1,86.8,7.3,22.4,27.9,6,1.29,6,690,5
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,7
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,5
28.3,40.6,2.3,6.9,25.3,4,0.88,12.5,590,7
30.8,68.9,2,11.5,23.6,13,1.46,7.1,638,5
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,5
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,5
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10,435,7
29.6,78.9,9.3,19,31.3,11.2,1.74,6.8,714,5
28,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,5
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3,927,1
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,7
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,5
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,5
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,7
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,5
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,7
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,5
27.4,63,11,21.1,23.2,9.6,1.27,6.6,333,5
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,7
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,1
40,88.7,29.3,46,45.1,20.7,2.03,3.2,821,1
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,7
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,7
42.6,94.6,17.9,30.1,44.3,4,1.91,2.6,525,1
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576,3
29,64,8.6,21.6,26.6,8.1,1.53,5,647,5
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,5
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,1
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6,417,5
33.7,89.4,30,47.3,26.5,8.1,1.41,6,613,5
23,44.6,23.1,28.1,16.2,9,0.95,10,437,7
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,5
33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686,3
25.2,42.6,10.5,18,24.7,7,0.89,10.8,517,7
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,5
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679,3
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,5
